repo_key,agent,skill_rel_path,yaml_name,acf_path,intro_commit,acf_cochanged_at_intro,acf_lines_removed_at_intro,acf_lines_added_at_intro,referenced_at_creation,referenced_at_head,n_acf_commits_with_reference_after_intro,reference_category
Azure__AppConfiguration,Copilot,.github/skills/release-notes/SKILL.md,release-notes,.github/copilot-instructions.md,aa293d3097c4,False,0,43,False,False,0,never_referenced
Azure__azure-container-networking,Copilot,.github/skills/acn-go-control-plane-contracts/SKILL.md,acn-go-control-plane-contracts,CLAUDE.md,990ec273f6f4,False,0,1,False,False,0,never_referenced
Azure__azure-container-networking,Copilot,.github/skills/acn-go-design-boundaries/SKILL.md,acn-go-design-boundaries,CLAUDE.md,990ec273f6f4,False,0,1,False,False,0,never_referenced
Azure__azure-sdk-for-rust,Copilot,.github/skills/create-crate/SKILL.md,create-crate,AGENTS.md,9fb3143ff5f0,True,43,81,True,True,2,referenced_at_creation
Azure__azure-sdk-for-rust,Copilot,.github/skills/lint-markdown/SKILL.md,lint-markdown,AGENTS.md,9fb3143ff5f0,True,43,81,True,True,2,referenced_at_creation
Azure__bicep-registry-modules,Copilot,.github/skills/avm-child-module-publishing/SKILL.md,avm-child-module-publishing,.github/copilot-instructions.md,cee1bfa39c07,True,152,42,True,True,2,referenced_at_creation
AzureAD__microsoft-authentication-library-for-dotnet,Copilot,.github/skills/msal-mtls-pop-fic-two-leg/SKILL.md,,.github/copilot-instructions.md,0e93afa1d03e,True,0,182,False,False,0,never_referenced
BoldGrid__w3-total-cache,OpenAI_Codex,.claude/skills/move-pr-to-private-ghsa/SKILL.md,move-pr-to-private-ghsa,CLAUDE.md,c52856903c26,False,0,0,False,False,0,never_referenced
BoldGrid__w3-total-cache,OpenAI_Codex,.claude/skills/pr-content-to-jira/SKILL.md,pr-content-to-jira,CLAUDE.md,adb3f065db93,False,0,0,False,False,0,never_referenced
BoldGrid__w3-total-cache,OpenAI_Codex,.claude/skills/repost-pr-reviews-to-tpf/SKILL.md,repost-pr-reviews-to-tpf,CLAUDE.md,87e93e9346d3,False,0,0,False,False,0,never_referenced
CoreWCF__CoreWCF,Copilot,.github/skills/code-memory/SKILL.md,code-memory,.github/copilot-instructions.md,edc491989d31,False,0,83,False,False,0,never_referenced
JanDeDobbeleer__oh-my-posh,Copilot,.github/skills/segment-docs/SKILL.md,segment-docs,AGENTS.md,8f1e3e469e9d,False,0,0,False,True,0,never_referenced
MixinNetwork__flutter-plugins,Copilot,.codex/skills/flutter-pub-release/SKILL.md,flutter-pub-release,AGENTS.md,8f36942173dc,True,0,1,True,True,1,referenced_at_creation
PowerShell__vscode-powershell,Copilot,.github/skills/release/SKILL.md,release,.github/copilot-instructions.md,ecb814597978,True,10,42,False,False,0,never_referenced
PowerShell__vscode-powershell,Copilot,.github/skills/update-npm-packages/SKILL.md,update-npm-packages,.github/copilot-instructions.md,ecb814597978,True,10,42,False,False,0,never_referenced
PrefectHQ__prefect,Claude_Code,.claude/skills/agents-md-sync/SKILL.md,agents-md-sync,AGENTS.md,b4719fb5c540,True,54,94,False,False,0,never_referenced
ShapeCrawler__ShapeCrawler,OpenAI_Codex,.cursor/skills/create-class/SKILL.md,class,CLAUDE.md,d1064cf378ca,False,0,0,False,False,0,never_referenced
ant-design__ant-design-pro,Copilot,.claude/skills/antd/SKILL.md,antd,CLAUDE.md,289ec388700a,True,1,1,True,True,7,referenced_at_creation
d-kuro__gwq,Claude_Code,.claude/skills/release-gwq/SKILL.md,release-gwq,CLAUDE.md,3548f8c894a1,False,0,26,False,False,0,never_referenced
dotnet__android,Copilot,.github/skills/ci-status/SKILL.md,ci-status,.github/copilot-instructions.md,dc9c85bac461,True,0,6,True,True,2,referenced_at_creation
dotnet__dev-proxy,Copilot,.github/skills/publish-to-winget/SKILL.md,publish-to-winget,.github/copilot-instructions.md,7cf3a23692fe,True,1,1,True,True,0,referenced_at_creation
dropseed__plain,OpenAI_Codex,.claude/skills/plain-install/SKILL.md,plain-install,CLAUDE.md,b592c32cb99f,False,0,0,False,True,18,added_later
enviodev__hyperindex,OpenAI_Codex,packages/cli/templates/static/shared/.claude/skills/indexer-blocks/SKILL.md,indexer-blocks,CLAUDE.md,d953072aafc4,False,0,0,False,False,0,never_referenced
