repo_key,agent,skill_rel_path,acf_path,n_post_intro_commits,n_cochange_commits,has_any_cochange
JonasKruckenberg__k23,Claude_Code,.claude/skills/review/SKILL.md,CLAUDE.md,2,0,False
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-mbt/SKILL.md,CLAUDE.md,1,0,False
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-py/SKILL.md,CLAUDE.md,1,0,False
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-rs/SKILL.md,CLAUDE.md,1,0,False
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-ts/SKILL.md,CLAUDE.md,1,0,False
mizchi__similarity,Claude_Code,.claude/skills/check-similarity/SKILL.md,CLAUDE.md,1,0,False
allenai__open-instruct,Claude_Code,.claude/skills/monitor-experiment/SKILL.md,CLAUDE.md,1,0,False
allenai__open-instruct,Claude_Code,.claude/skills/update-pr-body/SKILL.md,CLAUDE.md,2,0,False
d-kuro__gwq,Claude_Code,.claude/skills/release-gwq/SKILL.md,CLAUDE.md,2,0,False
jlowin__fastmcp,Claude_Code,.claude/skills/code-review/SKILL.md,CLAUDE.md,1,0,False
jlowin__fastmcp,Claude_Code,.claude/skills/review-issue/SKILL.md,CLAUDE.md,1,0,False
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-anti-pattern-detector/SKILL.md,CLAUDE.md,1,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-api-generator/SKILL.md,CLAUDE.md,1,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-auth-generator/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-controller-generator/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-debugging/SKILL.md,CLAUDE.md,3,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-deployment/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-documentation-generator/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-migration-generator/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-model-generator/SKILL.md,CLAUDE.md,1,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-refactoring/SKILL.md,CLAUDE.md,2,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-test-generator/SKILL.md,CLAUDE.md,3,1,True
wheels-dev__wheels,Claude_Code,examples/tweet/.claude/skills/wheels-view-generator/SKILL.md,CLAUDE.md,2,1,True
joshukraine__dotfiles,Claude_Code,claude/.claude/skills/walkthrough/SKILL.md,CLAUDE.md,2,0,False
numbagg__numbagg,Claude_Code,.claude/skills/running-tend/SKILL.md,CLAUDE.md,4,0,False
quay__quay,Claude_Code,.claude/skills/pilot-update/SKILL.md,CLAUDE.md,1,0,False
ruvnet__ruv-FANN,Claude_Code,.claude/skills/agentdb-advanced/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/agentdb-learning/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/agentdb-memory-patterns/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/agentdb-optimization/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/agentdb-vector-search/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/github-code-review/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/github-multi-repo/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/github-project-management/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/github-release-management/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/github-workflow-automation/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/hooks-automation/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/pair-programming/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/reasoningbank-agentdb/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/reasoningbank-intelligence/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/skill-builder/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/sparc-methodology/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/stream-chain/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/swarm-advanced/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/swarm-orchestration/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-cli-modernization/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-core-implementation/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-ddd-architecture/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-integration-deep/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-mcp-optimization/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-memory-unification/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-performance-optimization/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-security-overhaul/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/v3-swarm-coordination/SKILL.md,CLAUDE.md,1,1,True
ruvnet__ruv-FANN,Claude_Code,.claude/skills/verification-quality/SKILL.md,CLAUDE.md,1,1,True
PrefectHQ__prefect,Claude_Code,.claude/skills/agents-md-sync/SKILL.md,AGENTS.md,3,0,False
PrefectHQ__prefect,Claude_Code,.claude/skills/document-changes/SKILL.md,AGENTS.md,1,0,False
PrefectHQ__prefect,Claude_Code,.claude/skills/write-docs/SKILL.md,AGENTS.md,1,0,False
PRQL__prql,Claude_Code,.claude/skills/running-tend/SKILL.md,CLAUDE.md,7,0,False
yoshiko-pg__difit,Claude_Code,.claude/skills/difit-dev/SKILL.md,AGENTS.md,5,0,False
yoshiko-pg__difit,Claude_Code,.claude/skills/difit-review/SKILL.md,AGENTS.md,3,0,False
yoshiko-pg__difit,Claude_Code,.codex/skills/difit-dev/SKILL.md,AGENTS.md,6,0,False
yoshiko-pg__difit,Claude_Code,.codex/skills/difit-review/SKILL.md,AGENTS.md,3,0,False
yoshiko-pg__difit,Claude_Code,.codex/skills/release/SKILL.md,AGENTS.md,3,0,False
yoshiko-pg__difit,Claude_Code,.codex/skills/vscode-release/SKILL.md,AGENTS.md,1,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentdb-advanced/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentdb-learning/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentdb-memory-patterns/SKILL.md,CLAUDE.md,4,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentdb-optimization/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentdb-vector-search/SKILL.md,CLAUDE.md,4,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/agentic-jujutsu/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/browser/SKILL.md,CLAUDE.md,1,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/flow-nexus-neural/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/flow-nexus-platform/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/flow-nexus-swarm/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/github-code-review/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/github-multi-repo/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/github-project-management/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/github-release-management/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/github-workflow-automation/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/hive-mind-advanced/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/hooks-automation/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/pair-programming/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/performance-analysis/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/reasoningbank-agentdb/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/reasoningbank-intelligence/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/skill-builder/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/sparc-methodology/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/stream-chain/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/swarm-advanced/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/swarm-orchestration/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,.claude/skills/verification-quality/SKILL.md,CLAUDE.md,3,0,False
ruvnet__claude-flow,Claude_Code,v3/@claude-flow/cli/.claude/skills/browser/SKILL.md,CLAUDE.md,2,0,False
ruvnet__claude-flow,Claude_Code,v3/@claude-flow/cli/.claude/skills/flow-nexus-neural/SKILL.md,CLAUDE.md,1,0,False
ruvnet__claude-flow,Claude_Code,v3/@claude-flow/cli/.claude/skills/flow-nexus-platform/SKILL.md,CLAUDE.md,1,0,False
ruvnet__claude-flow,Claude_Code,v3/@claude-flow/cli/.claude/skills/flow-nexus-swarm/SKILL.md,CLAUDE.md,1,0,False
