repo_name,agent,file_path,total_commits,introduction_date,last_modified_date,lifespan_days,total_lines_added,total_lines_deleted,modification_types,provenance,provenance_shift
JonasKruckenberg__k23,Claude_Code,.claude/skills/review/SKILL.md,3,2026-05-08 14:12:22 +0200,2026-05-14 19:52:28 +0200,6.0,173,227,content_update|content_update,scratch,none
artsy__force,Claude_Code,.claude/skills/adding-a-new-app-route/SKILL.md,1,2026-01-27 10:02:13 -0500,2026-01-27 10:02:13 -0500,,0,0,,unknown,none
artsy__force,Claude_Code,.claude/skills/beep/SKILL.md,1,2026-01-27 10:02:13 -0500,2026-01-27 10:02:13 -0500,,0,0,,scratch,none
artsy__force,Claude_Code,.claude/skills/fix-sentry-issue/SKILL.md,1,2026-05-20 15:25:48 -0400,2026-05-20 15:25:48 -0400,,0,0,,scratch,none
Shelf-nu__shelf.nu,Claude_Code,.claude/skills/react-doctor/SKILL.md,1,2026-04-23 15:31:33 +0300,2026-04-23 15:31:33 +0300,0.0,0,0,,scratch,none
giselles-ai__giselle,Claude_Code,.claude/skills/add-model/SKILL.md,1,2026-01-15 17:06:34 +0900,2026-01-15 17:06:34 +0900,0.0,0,0,,unknown,none
robusta-dev__holmesgpt,Claude_Code,.claude/skills/create-eval/SKILL.md,1,2026-02-08 15:43:54 +0200,2026-02-08 15:43:54 +0200,0.0,0,0,,marketplace,none
robusta-dev__holmesgpt,Claude_Code,.claude/skills/patch-cve/SKILL.md,1,2026-03-17 16:21:17 +0200,2026-03-17 16:21:17 +0200,0.0,0,0,,marketplace,none
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-mbt/SKILL.md,2,2026-04-16 13:55:58 +0000,2026-04-16 15:02:47 +0000,0.0,2,2,minor_fix,scratch,none
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-py/SKILL.md,2,2026-04-16 14:02:39 +0000,2026-04-16 15:02:47 +0000,0.0,2,2,minor_fix,scratch,none
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-rs/SKILL.md,2,2026-04-16 14:02:39 +0000,2026-04-16 15:02:47 +0000,0.0,2,2,minor_fix,scratch,none
mizchi__similarity,Claude_Code,.claude/skills/check-similarity-ts/SKILL.md,2,2026-04-16 14:02:39 +0000,2026-04-16 15:02:47 +0000,0.0,2,2,minor_fix,unknown,none
mizchi__similarity,Claude_Code,.claude/skills/check-similarity/SKILL.md,2,2026-04-16 13:55:58 +0000,2026-04-16 15:02:47 +0000,0.0,12,12,content_update,unknown,none
allenai__open-instruct,Claude_Code,.claude/skills/monitor-experiment/SKILL.md,2,2026-01-06 11:40:41 -0700,2026-01-14 17:02:15 -0700,,5,0,content_update,scratch,none
allenai__open-instruct,Claude_Code,.claude/skills/update-pr-body/SKILL.md,3,2026-01-15 17:01:07 -0700,2026-02-05 10:05:55 -0800,,15,20,content_update|rename_or_move,scratch,none
d-kuro__gwq,Claude_Code,.claude/skills/release-gwq/SKILL.md,3,2026-03-18 18:20:57 +0900,2026-04-18 10:17:22 +0900,30.0,2,2,minor_fix|deletion,from_acf,none
jlowin__fastmcp,Claude_Code,.claude/skills/code-review/SKILL.md,2,2026-01-12 11:24:39 -0500,2026-03-13 18:08:03 -0400,,7,0,content_update,scratch,none
jlowin__fastmcp,Claude_Code,.claude/skills/python-tests/SKILL.md,1,2026-01-12 11:24:39 -0500,2026-01-12 11:24:39 -0500,,0,0,,scratch,none
jlowin__fastmcp,Claude_Code,.claude/skills/review-issue/SKILL.md,2,2026-05-22 18:47:15 -0400,2026-05-22 20:08:48 -0400,,17,1,content_update,scratch,none
jlowin__fastmcp,Claude_Code,.claude/skills/review-pr/SKILL.md,1,2026-03-18 15:30:29 -0400,2026-03-18 15:30:29 -0400,,0,0,,unknown,none
